Question;Category
Provide the name of the algorithm used in public-key cryptography.;Factual
Summarize the main differences between renewable and nonrenewable resources.;Summarization
What are the necessary steps to configure the app’s notification settings?;Operational
Where does the disconnected wire typically attach?;Clarification
List the factors that contribute to global warming.;Factual
Summarize the advantages of telemedicine in rural areas.;Summarization
Can you generate a list of overdue maintenance tasks?;Operational
Preston did the clark;Clarification
Name the first American astronaut to orbit Earth.;Factual
Summarize the ethical concerns surrounding AI in hiring processes.;Summarization
What is the procedure for calibrating a 3D printer?;Operational
How do the error logs get overwritten after every restart?;Clarification
State the key factors in photosynthesis efficiency.;Factual
Summarize the impact of fast food on public health.;Summarization
Can you create a detailed plan for deploying new software?;Operational
Why are the system metrics lunar logs?;Clarification
Provide the name of the largest freshwater lake by volume.;Factual
Summarize the benefits of adopting cloud-based storage solutions.;Summarization
What are the steps for scheduling a system reboot?;Operational
Where is the missing screw meant to be installed?;Clarification




